service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
386,0,0,0,0,0,1,0,20190720,20190727
536,1,1,1,1,0,0,0,20190805,20190830
274,0,0,0,0,0,1,0,20190608,20190727
535,1,1,1,1,1,0,0,20190603,20190707
537,0,0,0,0,1,0,0,20190712,20190726
562,1,1,1,1,0,1,1,20190706,20190731
561,1,1,1,1,1,1,1,20190603,20190707
538,0,0,0,0,1,0,0,20190809,20190823
283,0,0,0,0,0,1,1,20190608,20190728
527,0,0,0,0,0,1,1,20190608,20190707
529,1,1,1,1,1,0,0,20190701,20190731
253,1,1,1,1,1,0,0,20190603,20190705
523,1,1,1,1,1,0,0,20190708,20190731
530,0,0,0,0,0,1,0,20190706,20190727
318,0,0,0,0,0,1,0,20190810,20190831
299,0,0,0,0,0,0,1,20190609,20190728
252,1,1,1,1,1,0,0,20190603,20190731
372,1,1,1,1,1,0,0,20190603,20190802
368,1,1,1,1,1,0,0,20190805,20190830
549,1,1,1,1,0,1,0,20190805,20190824
548,0,0,0,0,1,0,0,20190809,20190831
547,1,1,1,1,1,1,0,20190603,20190707
550,1,1,1,1,0,1,0,20190708,20190731
322,1,1,1,1,1,0,0,20190708,20190823
273,0,0,0,0,0,0,1,20190609,20190804
478,0,0,0,0,0,1,1,20190608,20190804
479,0,0,0,0,0,1,1,20190810,20190901
313,0,0,0,0,0,0,1,20190811,20190901
546,1,1,1,1,1,1,0,20190603,20190731
279,1,1,1,1,1,0,0,20190603,20190830
292,1,1,1,1,1,1,0,20190603,20190831
339,0,0,0,0,0,0,1,20190609,20190901
497,1,1,1,1,1,0,0,20190603,20190830
341,0,0,0,0,0,1,1,20190608,20190901
338,1,1,1,1,1,1,1,20190603,20190731
355,1,1,1,1,1,1,0,20190603,20190731
296,0,0,0,0,0,1,1,20190608,20190901
293,0,0,0,0,0,1,0,20190608,20190831
19,1,1,1,1,1,1,1,20190603,20190901
295,1,1,1,1,1,0,1,20190603,20190901
5829,1,1,1,1,1,1,1,20190603,20190901
5827,0,0,0,0,1,0,0,20190607,20190830
5857,1,1,1,1,1,1,1,20190603,20190901
6169,1,1,1,1,0,0,1,20190603,20190630
6172,0,0,0,0,1,0,0,20190705,20190830
6165,0,0,0,0,1,0,0,20190607,20190628
6168,1,1,1,1,0,0,1,20190701,20190901
6149,1,1,1,1,1,1,1,20190701,20190728
5974,1,1,1,1,1,1,0,20190603,20190831
6152,1,1,1,1,1,1,1,20190603,20190630
6153,1,1,1,1,1,1,1,20190819,20190901
6087,1,1,1,1,1,1,1,20190603,20190901
5948,0,0,0,0,1,0,1,20190607,20190630
6081,0,0,0,0,1,0,1,20190705,20190901
5828,0,0,0,0,1,0,0,20190607,20190830
6019,1,1,1,1,1,1,1,20190603,20190630
1867,0,0,0,0,0,0,1,20190707,20190901
5880,1,1,1,1,1,1,1,20190603,20190630
2039,0,0,0,0,0,0,1,20190707,20190901
5951,1,1,1,1,1,1,0,20190603,20190629
6018,1,1,1,1,1,1,1,20190701,20190901
5972,1,1,1,1,1,1,1,20190701,20190901
2557,0,0,0,0,0,0,1,20190623,20190630
5888,1,1,1,1,1,1,0,20190701,20190831
5889,1,1,1,1,1,1,0,20190603,20190629
5319,0,0,0,0,0,0,1,20190616,20190630
1805,1,1,1,1,1,1,0,20190701,20190831
6046,1,1,1,1,1,1,0,20190603,20190608
6047,1,1,1,1,1,1,1,20190610,20190901
5863,0,0,0,0,0,0,1,20190609,20190901
179,1,1,1,1,0,0,0,20190617,20190620
181,1,1,1,1,0,0,0,20190624,20190725
217,0,0,0,0,0,0,1,20190714,20190901
212,0,0,0,0,0,0,1,20190630,20190707
185,1,1,1,1,0,0,0,20190624,20190829
186,0,0,0,0,1,0,0,20190607,20190621
209,0,0,0,0,0,0,1,20190616,20190623
174,0,0,0,0,1,0,0,20190607,20190621
221,0,0,0,0,0,1,1,20190608,20190610
194,0,0,0,0,0,1,0,20190629,20190707
216,0,0,0,0,0,1,1,20190722,20190804
218,0,0,0,0,0,0,1,20190721,20190728
198,0,0,0,0,0,1,0,20190615,20190622
173,1,1,1,1,0,0,0,20190624,20190829
182,1,1,1,1,0,0,0,20190603,20190613
180,1,1,1,1,0,0,0,20190729,20190829
171,0,0,0,0,1,0,0,20190628,20190830
172,1,1,1,1,0,0,0,20190603,20190620
178,0,0,0,0,1,0,0,20190607,20190621
222,0,0,0,0,0,1,1,20190810,20190811
225,0,1,1,1,1,0,1,20190806,20190813
224,1,1,1,1,1,0,1,20190603,20190621
220,1,1,1,1,1,0,0,20190624,20190707
197,1,1,1,1,1,0,0,20190624,20190830
195,1,1,1,1,1,0,0,20190603,20190621
193,0,1,1,1,1,0,0,20190806,20190813
219,0,0,0,0,0,0,1,20190630,20190728
210,1,1,1,1,0,0,0,20190603,20190620
202,0,0,0,0,1,1,0,20190809,20190810
201,0,1,1,1,0,0,0,20190806,20190813
