service_id,date,exception_type
536,20190830,1
536,20190815,2
535,20190708,1
535,20190709,1
535,20190710,1
535,20190711,1
535,20190715,1
535,20190716,1
535,20190717,1
535,20190718,1
535,20190722,1
535,20190723,1
535,20190724,1
535,20190725,1
535,20190729,1
535,20190730,1
535,20190731,1
535,20190610,2
561,20190712,1
561,20190719,1
561,20190726,1
561,20190706,2
561,20190707,2
283,20190610,1
527,20190610,1
527,20190714,1
527,20190721,1
527,20190728,1
529,20190603,1
529,20190604,1
529,20190605,1
529,20190606,1
529,20190607,1
529,20190608,1
529,20190611,1
529,20190612,1
529,20190613,1
529,20190614,1
529,20190615,1
529,20190617,1
529,20190618,1
529,20190619,1
529,20190620,1
529,20190621,1
529,20190622,1
529,20190624,1
529,20190625,1
529,20190626,1
529,20190627,1
529,20190628,1
529,20190629,1
529,20190610,2
253,20190610,2
299,20190610,1
252,20190610,2
372,20190610,2
368,20190815,2
549,20190815,2
548,20190826,1
548,20190827,1
548,20190828,1
548,20190829,1
548,20190831,1
547,20190712,1
547,20190719,1
547,20190726,1
547,20190610,2
322,20190815,2
321,20190603,1
321,20190604,1
321,20190605,1
321,20190606,1
321,20190607,1
321,20190617,1
321,20190618,1
321,20190619,1
321,20190620,1
321,20190621,1
321,20190624,1
321,20190625,1
321,20190626,1
321,20190627,1
321,20190628,1
321,20190701,1
321,20190702,1
321,20190703,1
321,20190704,1
321,20190705,1
321,20190826,1
321,20190827,1
321,20190828,1
321,20190829,1
321,20190830,1
321,20190610,2
273,20190610,1
478,20190610,1
479,20190815,1
313,20190815,1
546,20190610,2
279,20190610,2
279,20190815,2
292,20190610,2
292,20190815,2
339,20190815,1
339,20190610,1
497,20190610,2
497,20190815,2
341,20190815,1
341,20190610,1
355,20190610,2
296,20190815,1
296,20190610,1
5829,20190608,2
5827,20190814,1
5857,20190608,2
5857,20190609,2
6169,20190609,2
6172,20190814,1
6168,20190814,2
6168,20190815,2
6149,20190815,1
6149,20190803,1
6149,20190804,1
6149,20190810,1
6149,20190811,1
6149,20190817,1
6149,20190818,1
5974,20190610,2
6152,20190610,2
6152,20190608,2
6152,20190609,2
6153,20190729,1
6153,20190730,1
6153,20190731,1
6153,20190801,1
6153,20190802,1
6153,20190805,1
6153,20190806,1
6153,20190807,1
6153,20190808,1
6153,20190809,1
6153,20190812,1
6153,20190813,1
6153,20190814,1
6153,20190816,1
6153,20190815,2
6087,20190608,2
6087,20190609,2
5948,20190610,1
5948,20190609,2
6081,20190814,1
6019,20190812,1
6019,20190813,1
6019,20190814,1
6019,20190819,1
6019,20190820,1
6019,20190821,1
6019,20190822,1
6019,20190823,1
6019,20190610,2
6019,20190608,2
6019,20190609,2
5880,20190608,2
5880,20190609,2
5951,20190610,2
6018,20190731,2
6018,20190812,2
6018,20190813,2
6018,20190814,2
6018,20190819,2
6018,20190820,2
6018,20190821,2
6018,20190822,2
6018,20190823,2
5889,20190608,2
5889,20190610,2
5889,20190615,2
5921,20190616,1
1472,20190615,1
191,20190610,1
5863,20190610,1
217,20190825,2
185,20190815,2
221,20190610,1
194,20190720,1
216,20190713,1
216,20190714,1
216,20190815,1
216,20190817,1
216,20190818,1
216,20190831,1
216,20190901,1
216,20190728,2
173,20190814,2
173,20190815,2
182,20190610,2
180,20190814,2
180,20190815,2
207,20190609,1
171,20190814,1
172,20190610,2
206,20190810,1
225,20190812,1
224,20190616,2
223,20190803,1
223,20190713,1
223,20190817,1
220,20190715,1
220,20190716,1
220,20190717,1
220,20190718,1
220,20190719,1
220,20190722,1
220,20190723,1
220,20190724,1
220,20190725,1
220,20190726,1
220,20190805,1
220,20190819,1
220,20190820,1
220,20190821,1
220,20190822,1
220,20190823,1
220,20190826,1
220,20190827,1
220,20190828,1
220,20190829,1
220,20190830,1
220,20190708,1
220,20190709,1
220,20190710,1
220,20190711,1
220,20190712,1
220,20190714,1
220,20190729,1
