route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1109945,386,OCESN002011F0900910694,"2011",1,,
OCE1109945,536,OCESN002025F0200210715,"2025",1,,
OCE1109945,274,OCESN002021F0400410710,"2021",1,,
OCE1109945,535,OCESN002025F0100110714,"2025",1,,
OCE1109945,537,OCESN002025F0400410716,"2025",1,,
OCE1109945,562,OCESN002035F1101110734,"2035",1,,
OCE1109945,561,OCESN002035F0900910735,"2035",1,,
OCE1109945,538,OCESN002025F0500510717,"2025",1,,
OCE1109945,283,OCESN002027F0400410724,"2027",1,,
OCE1109945,527,OCESN002011F1401410696,"2011",1,,
OCE1109945,529,OCESN002013F0100110697,"2013",1,,
OCE1109945,253,OCESN002005F0700710686,"2005",1,,
OCE1109945,523,OCESN002005F0900910687,"2005",1,,
OCE1109945,530,OCESN002013F0900910698,"2013",1,,
OCE1109945,318,OCESN002021F0700710709,"2021",1,,
OCE1109945,299,OCESN002017F0200210704,"2017",1,,
OCE1109945,252,OCESN002017F0600610706,"2017",1,,
OCE1109945,372,OCESN002026F1101110723,"2026",0,,
OCE1109945,368,OCESN002026F0500510719,"2026",0,,
OCE1109945,283,OCESN002026F0600610721,"2026",0,,
OCE1109945,549,OCESN002008F0800810691,"2008",0,,
OCE1109945,548,OCESN002008F0400410689,"2008",0,,
OCE1109945,547,OCESN002008F0100110688,"2008",0,,
OCE1109945,550,OCESN002008F0900910692,"2008",0,,
OCE1109945,322,OCESN002022F0400410713,"2022",0,,
OCE1109945,321,OCESN002022F0300310712,"2022",0,,
OCE1109945,273,OCESN002030F1201210729,"2030",0,,
OCE1109945,478,OCESN002034F0300310730,"2034",0,,
OCE1109945,368,OCESN002030F1301310727,"2030",0,,
OCE1109945,479,OCESN002034F0900910731,"2034",0,,
OCE1109945,299,OCESN002036F0400410737,"2036",0,,
OCE1109945,299,OCESN002014F1601610703,"2014",0,,
OCE1109945,313,OCESN002036F0300310738,"2036",0,,
OCE1109945,546,OCESN002014F1501510702,"2014",0,,
OCE1109945,252,OCESN002030F0100110725,"2030",0,,
OCE1109945,313,OCESN002030F0800810726,"2030",0,,
OCESN-87116137-87116160,279,OCESN002101R0100110784,"2101",1,,
OCESN-87116137-87116160,292,OCESN002103R0100110785,"2103",1,,
OCESN-87116137-87116160,279,OCESN002105R0100110786,"2105",1,,
OCESN-87116137-87116160,279,OCESN002100R0100210783,"2100",0,,
OCE1109947,274,OCESN002321F0300310883,"2321",1,,
OCE1109947,339,OCESN002327F0400410891,"2327",1,,
OCE1109947,497,OCESN002325F0500510889,"2325",1,,
OCE1109947,341,OCESN002307F0400410874,"2307",1,,
OCE1109947,283,OCESN002323F0600610885,"2323",1,,
OCE1109947,252,OCESN002323F0100110884,"2323",1,,
OCE1109947,338,OCESN002329F0400410892,"2329",1,,
OCE1109947,299,OCESN002333F0400410898,"2333",1,,
OCE1109947,252,OCESN002309F0200210876,"2309",1,,
OCE1109947,252,OCESN002317F0200210880,"2317",1,,
OCE1109947,252,OCESN002301F0200210871,"2301",1,,
OCE1109947,274,OCESN002319F0100110882,"2319",1,,
OCE1109947,252,OCESN002304F0200210872,"2304",0,,
OCE1109947,299,OCESN002318F0700710881,"2318",0,,
OCE1109947,274,OCESN002306F0300310873,"2306",0,,
OCE1109947,299,OCESN002330F0300310895,"2330",0,,
OCE1109947,252,OCESN002308F0100110875,"2308",0,,
OCE1109947,283,OCESN002332F0500510896,"2332",0,,
OCE1109947,299,OCESN002310F0100110877,"2310",0,,
OCE1109947,299,OCESN002324F0100110887,"2324",0,,
OCE1109947,355,OCESN002312F0100110878,"2312",0,,
OCE1109947,355,OCESN002316F0100110879,"2316",0,,
OCE1109947,252,OCESN002326F0400410890,"2326",0,,
OCE1109947,252,OCESN002332F0800810897,"2332",0,,
